term,estimate,std.error,statistic,p.value,nct_id,model_n
I(como_cnt^2),-1.231,0.588,-2.0955299836,0.036123906,NCT02177461,4
(Intercept),-1.932,0.161,-11.9718491318,4.9903870805891046e-33,NCT02183064,1
age_std,0.047,0.115,0.4114460294,0.6807455082,NCT02183064,1
sex,-0.013,0.188,-0.0697778231,0.9443704987,NCT02183064,1
como_cnt,-0.093,0.069,-1.3424041031,0.1794650051,NCT02183064,1
(Intercept),-1.668,0.177,-9.4269998634,4.219860839032214e-21,NCT02183064,2
age_std,0.06,0.115,0.526434563,0.5985863065,NCT02183064,2
sex,-0.03,0.189,-0.1567103767,0.8754731087,NCT02183064,2
como_cnt,-0.504,0.152,-3.3220378753,8.936256274117842e-4,NCT02183064,2
I(como_cnt^2),0.091,0.029,3.1167260701,0.0018287141,NCT02183064,2
(Intercept),-2.094,0.112,-18.7651781674,1.4550891739163758e-78,NCT02183064,5
age_std,0.024,0.114,0.2129501244,0.8313658653,NCT02183064,5
sex,0.008,0.187,0.0449109292,0.9641783054,NCT02183064,5
(Intercept),-2.244,0.183,-12.2421929671,1.849664874736408e-34,NCT02183064,3
age_std,-0.009,0.102,-0.0912471939,0.927296176,NCT02183064,3
I(age_std^2),0.389,0.093,4.1734759832,2.9998729715840697e-5,NCT02183064,3
sex,-0.029,0.19,-0.1505138358,0.8803592357,NCT02183064,3
como_cnt,-0.071,0.07,-1.0256927321,0.3050364412,NCT02183064,3
(Intercept),-1.98,0.2,-9.9202912609,3.3976324922708694e-23,NCT02183064,4
age_std,0.006,0.103,0.0567899565,0.9547125146,NCT02183064,4
I(age_std^2),0.374,0.094,3.992499244,6.538054150166388e-5,NCT02183064,4
sex,-0.043,0.191,-0.2269988764,0.8204246159,NCT02183064,4
como_cnt,-0.458,0.154,-2.9674477434,0.0030028332,NCT02183064,4
I(como_cnt^2),0.085,0.03,2.861330215,0.004218674,NCT02183064,4
(Intercept),-2.473,0.47,-5.2627360951,1.419272317027119e-7,NCT02242318,1
age_std,0.497,0.383,1.2990939771,0.1939116798,NCT02242318,1
sex,-0.004,0.517,-0.0073452604,0.9941393828,NCT02242318,1
como_cnt,0.245,0.264,0.9290237169,0.3528767954,NCT02242318,1
(Intercept),-2.486,0.5,-4.9678221177,6.770902801602591e-7,NCT02242318,2
age_std,0.497,0.382,1.3008700363,0.193302944,NCT02242318,2
sex,0,0.52,4.734716501625751e-4,0.9996222243,NCT02242318,2
como_cnt,0.301,0.784,0.3834098604,0.7014158934,NCT02242318,2
I(como_cnt^2),-0.021,0.284,-0.074929185,0.9402710556,NCT02242318,2
(Intercept),-2.277,0.406,-5.6040221801,2.094338898315366e-8,NCT02242318,5
age_std,0.548,0.377,1.4529334479,0.1462422331,NCT02242318,5
sex,-0.021,0.516,-0.0397700587,0.968276447,NCT02242318,5
(Intercept),-2.556,0.507,-5.03678886,4.7340647825656023e-7,NCT02242318,3
age_std,0.592,0.425,1.3939648868,0.1633282082,NCT02242318,3
I(age_std^2),0.173,0.392,0.4412883617,0.6590042506,NCT02242318,3
sex,0.013,0.519,0.02482048,0.9801981554,NCT02242318,3
como_cnt,0.248,0.265,0.9385440071,0.3479649125,NCT02242318,3
(Intercept),-2.565,0.533,-4.8084663831,1.520925986910114e-6,NCT02242318,4
age_std,0.592,0.425,1.3931975412,0.1635600631,NCT02242318,4
I(age_std^2),0.172,0.393,0.4384946932,0.6610277163,NCT02242318,4
sex,0.016,0.522,0.0305834586,0.9756017341,NCT02242318,4
como_cnt,0.291,0.784,0.3706164031,0.710923263,NCT02242318,4
I(como_cnt^2),-0.016,0.285,-0.0571060927,0.9544606831,NCT02242318,4
(Intercept),-0.652,0.238,-2.7441236135,0.0060672686,NCT00051558,1
age_std,0.181,0.11,1.6481656955,0.0993186742,NCT00051558,1
