term,estimate,std.error,statistic,p.value,nct_id,model_n
(Intercept),-2.639,0.313,-8.4178329286,3.835121758647971e-17,NCT00696241,1
age_std,0.071,0.238,0.2958648839,0.7673332697,NCT00696241,1
sex,0.116,0.358,0.3246033368,0.7454813015,NCT00696241,1
como_cnt,0.308,0.236,1.3045603235,0.192042606,NCT00696241,1
(Intercept),-2.675,0.32,-8.3679549303,5.862680739310804e-17,NCT00696241,2
age_std,0.062,0.24,0.2577806543,0.7965761957,NCT00696241,2
sex,0.086,0.36,0.2392474479,0.8109137126,NCT00696241,2
como_cnt,0.705,0.631,1.1158277183,0.2644958866,NCT00696241,2
I(como_cnt^2),-0.208,0.314,-0.6615538129,0.5082572162,NCT00696241,2
(Intercept),-2.44,0.261,-9.339446603,9.683893040450968e-21,NCT00696241,5
age_std,0.084,0.238,0.3514874881,0.7252226575,NCT00696241,5
sex,0.062,0.354,0.1749234514,0.8611397828,NCT00696241,5
(Intercept),-2.703,0.333,-8.1265150513,4.4180866565944716e-16,NCT00696241,3
age_std,0.134,0.251,0.5329574068,0.594063065,NCT00696241,3
I(age_std^2),0.132,0.216,0.6109553038,0.5412291707,NCT00696241,3
sex,0.102,0.36,0.2819813416,0.7779578172,NCT00696241,3
como_cnt,0.306,0.236,1.2957829983,0.1950502571,NCT00696241,3
(Intercept),-2.745,0.34,-8.0820471367,6.36884769046438e-16,NCT00696241,4
age_std,0.127,0.25,0.5076430804,0.6117036726,NCT00696241,4
I(age_std^2),0.14,0.216,0.6487663012,0.5164894422,NCT00696241,4
sex,0.068,0.362,0.1873536898,0.8513833298,NCT00696241,4
como_cnt,0.721,0.633,1.1397090769,0.2544075243,NCT00696241,4
I(como_cnt^2),-0.217,0.315,-0.6907867639,0.4896995547,NCT00696241,4
(Intercept),-2.417,0.301,-8.0291170953,9.817662072347478e-16,NCT00696436,1
age_std,0.309,0.232,1.3347856725,0.1819465041,NCT00696436,1
sex,0.31,0.344,0.9011582142,0.3675042046,NCT00696436,1
como_cnt,0.062,0.203,0.3044075692,0.7608174019,NCT00696436,1
(Intercept),-2.304,0.304,-7.5818115844,3.4076291160471515e-14,NCT00696436,2
age_std,0.319,0.235,1.3553527047,0.1753052105,NCT00696436,2
sex,0.32,0.349,0.916739952,0.3592789253,NCT00696436,2
como_cnt,-0.682,0.427,-1.5968941013,0.1102893149,NCT00696436,2
I(como_cnt^2),0.236,0.114,2.0758998418,0.0379032154,NCT00696436,2
(Intercept),-2.373,0.262,-9.0504434389,1.4238891048361893e-19,NCT00696436,5
age_std,0.318,0.23,1.3835824599,0.1664863421,NCT00696436,5
sex,0.29,0.337,0.8606493605,0.3894311913,NCT00696436,5
(Intercept),-2.301,0.324,-7.0908377445,1.3330256298235647e-12,NCT00696436,3
age_std,0.212,0.27,0.7850733386,0.4324105705,NCT00696436,3
I(age_std^2),-0.255,0.287,-0.8906383188,0.3731232351,NCT00696436,3
sex,0.299,0.343,0.871179096,0.3836563719,NCT00696436,3
como_cnt,0.065,0.201,0.3221421645,0.7473449967,NCT00696436,3
(Intercept),-2.202,0.327,-6.7389021263,1.595878503817592e-11,NCT00696436,4
age_std,0.232,0.272,0.8539227226,0.3931478085,NCT00696436,4
I(age_std^2),-0.232,0.29,-0.8008956716,0.4231920461,NCT00696436,4
sex,0.315,0.349,0.9019251938,0.3670966071,NCT00696436,4
como_cnt,-0.666,0.428,-1.5575844497,0.1193317873,NCT00696436,4
I(como_cnt^2),0.231,0.114,2.0285246776,0.0425067273,NCT00696436,4
(Intercept),-2.596,0.05,-52.1816895795,0,NCT00262600,1
age_std,0.409,0.045,8.9943027884,2.3773632030928557e-19,NCT00262600,1
como_cnt,0.157,0.019,8.467208525,2.5134388679111708e-17,NCT00262600,1
(Intercept),-2.581,0.052,-49.3611593339,0,NCT00262600,2
age_std,0.411,0.046,9.0256603566,1.7861481694604409e-19,NCT00262600,2
como_cnt,0.12,0.044,2.7552943803,0.0058639349,NCT00262600,2
I(como_cnt^2),0.009,0.01,0.9450253217,0.3446459487,NCT00262600,2
(Intercept),-2.446,0.046,-53.4370030519,0,NCT00262600,5
age_std,0.452,0.045,10.0203165047,1.2410487354998345e-23,NCT00262600,5
(Intercept),-2.598,0.047,-55.2953137152,0,NCT00262600,3
age_std,0.011,0.06,0.185705058,0.8526760616,NCT00262600,3
I(age_std^2),0.327,0.04,8.1624375584,3.283303202468122e-16,NCT00262600,3
como_cnt,0.157,0.019,8.4588012145,2.7014007367855263e-17,NCT00262600,3
(Intercept),-2.584,0.05,-52.0368957464,0,NCT00262600,4
age_std,0.013,0.06,0.2215578146,0.8246581254,NCT00262600,4
I(age_std^2),0.326,0.04,8.1540539444,3.5192377279791324e-16,NCT00262600,4
como_cnt,0.122,0.044,2.8072665081,0.0049963886,NCT00262600,4
I(como_cnt^2),0.009,0.01,0.8869678247,0.3750962235,NCT00262600,4
(Intercept),-2.427,0.15,-16.1422095846,1.2884497671731405e-58,NCT00291330,1
age_std,0.039,0.069,0.5674441291,0.5704124755,NCT00291330,1
sex,-0.085,0.144,-0.5894326779,0.5555710608,NCT00291330,1
como_cnt,0.069,0.054,1.2578763828,0.2084364661,NCT00291330,1
(Intercept),-2.52,0.173,-14.5652065146,4.675694378910059e-48,NCT00291330,2
age_std,0.038,0.069,0.5476306352,0.5839455496,NCT00291330,2
sex,-0.086,0.144,-0.5970493711,0.5504744186,NCT00291330,2
como_cnt,0.215,0.141,1.5230817295,0.1277382592,NCT00291330,2
I(como_cnt^2),-0.033,0.03,-1.1074020561,0.2681201373,NCT00291330,2
(Intercept),-2.302,0.11,-20.8731174785,9.399925319485065e-97,NCT00291330,5
age_std,0.06,0.067,0.8960002381,0.3702526361,NCT00291330,5
sex,-0.1,0.143,-0.698979862,0.4845646161,NCT00291330,5
(Intercept),-2.479,0.167,-14.8712441588,5.066299797482118e-50,NCT00291330,3
age_std,0.073,0.082,0.8887993699,0.3741109146,NCT00291330,3
I(age_std^2),0.042,0.057,0.7288282351,0.4661067378,NCT00291330,3
sex,-0.065,0.146,-0.4466129291,0.6551545589,NCT00291330,3
como_cnt,0.068,0.054,1.2466373692,0.2125304931,NCT00291330,3
(Intercept),-2.574,0.188,-13.680344052,1.330616153908035e-42,NCT00291330,4
